Save,1/8/2026,1:07:50 PM,Scan,1/8/2026,1:07:35 PM,Reference,1/8/2026,12:58:32 PM,Measure
Software,STS IL/PDL,RAW,Normal,2.3.1.0
TSL,SANTEC,TSL-570,22110007,0032.0033.0015
PowerMeter,SANTEC,MPM-210H,23090007,Ver.1.19
,Module0,MPM-211,23090008M211,Ver.1.23
Power Monitor,DAQ
Start,1243,nm
Stop,1377,nm
Step,0.01,nm
Speed,200,nm/s
Source Power,5,dBm
Averaging Time,0.05,msec
Power meter range,23090008M211,(Ch1),-30～+10dBm,-40～ 0dBm,-50～-10dBm,-60～-20dBm,-80～-30dBm
--HEADER END--
--RAW DATA START--
Wavelength(nm),Monitor_R1(dBm),Monitor_R2(dBm),Monitor_R3(dBm),Monitor_R4(dBm),Monitor_R5(dBm),Raw_M1_S0_CH1_R1(dBm),Raw_M1_S0_CH1_R2(dBm),Raw_M1_S0_CH1_R3(dBm),Raw_M1_S0_CH1_R4(dBm),Raw_M1_S0_CH1_R5(dBm)
1243,-3.278287,-3.295552,-3.302874,-3.298601,-3.297381,-26.87985,-36.18962,-42.17817,-43.6752,-43.6876
1243.01,-3.287329,-3.304248,-3.310667,-3.303714,-3.304096,-26.84793,-36.2831,-42.42913,-43.95211,-43.96063
1243.02,-3.29578,-3.308603,-3.314875,-3.305012,-3.306921,-26.90199,-36.32614,-42.67633,-44.41385,-44.51353
1243.03,-3.299288,-3.305928,-3.314339,-3.3015,-3.303866,-26.98644,-36.30461,-42.77165,-44.56668,-44.77074
1243.04,-3.298906,-3.300737,-3.306768,-3.293799,-3.299516,-26.96824,-36.32407,-42.72479,-44.49952,-44.78539
1243.05,-3.296238,-3.291819,-3.299211,-3.287482,-3.291895,-26.93307,-36.35063,-42.70753,-44.45683,-44.71104
1243.06,-3.292352,-3.282692,-3.290753,-3.279426,-3.284668,-26.94249,-36.38498,-42.78653,-44.59698,-44.78451
1243.07,-3.286721,-3.274949,-3.280337,-3.271082,-3.277756,-26.93165,-36.37991,-42.95817,-44.8404,-45.01867
1243.08,-3.279426,-3.264494,-3.268355,-3.261545,-3.266765,-26.93538,-36.3735,-43.04596,-44.97346,-45.20929
1243.09,-3.269113,-3.252632,-3.252556,-3.248634,-3.254745,-26.98005,-36.33261,-42.87516,-44.73963,-45.14175
1243.1,-3.257388,-3.243436,-3.242231,-3.23892,-3.243661,-26.93076,-36.29835,-42.6317,-44.38375,-44.79214
1243.11,-3.250972,-3.239296,-3.236965,-3.234184,-3.236739,-26.8964,-36.31337,-42.52486,-44.21523,-44.50946
1243.12,-3.245996,-3.237491,-3.236138,-3.232831,-3.233958,-26.93325,-36.32909,-42.56926,-44.24323,-44.42417
1243.13,-3.247353,-3.241027,-3.240876,-3.238318,-3.23689,-26.93332,-36.34803,-42.71052,-44.43035,-44.54129
1243.14,-3.249614,-3.247654,-3.248709,-3.245469,-3.242457,-26.9429,-36.35752,-42.90105,-44.72529,-44.82013
1243.15,-3.253613,-3.256406,-3.255726,-3.253764,-3.249765,-26.93139,-36.39845,-43.03341,-44.96599,-45.14533
1243.16,-3.256557,-3.261772,-3.262906,-3.259277,-3.255198,-26.93846,-36.40222,-43.03568,-44.98653,-45.25814
1243.17,-3.25769,-3.265932,-3.267749,-3.263057,-3.260184,-26.95274,-36.36775,-42.94855,-44.86756,-45.20419
1243.18,-3.258975,-3.26987,-3.271082,-3.26669,-3.264343,-26.94547,-36.32172,-42.80596,-44.6576,-45.0299
1243.19,-3.262452,-3.276087,-3.276921,-3.272522,-3.270476,-26.93099,-36.27652,-42.66528,-44.44798,-44.79169
1243.2,-3.268961,-3.283224,-3.284364,-3.279805,-3.277832,-26.90714,-36.2653,-42.61765,-44.35302,-44.61634
1243.21,-3.275859,-3.291819,-3.291972,-3.288166,-3.286036,-26.88419,-36.2907,-42.65905,-44.4198,-44.61212
1243.22,-3.282768,-3.297534,-3.299669,-3.295095,-3.292352,-26.89216,-36.32761,-42.62566,-44.39806,-44.65311
1243.23,-3.29022,-3.300813,-3.302874,-3.299059,-3.295628,-26.918,-36.2671,-42.40214,-44.01895,-44.49067
1243.24,-3.293266,-3.299822,-3.300584,-3.297,-3.295018,-26.91576,-36.17755,-42.13383,-43.61947,-44.1018
1243.25,-3.294333,-3.294866,-3.294104,-3.291362,-3.29083,-26.90422,-36.11681,-41.89326,-43.28706,-43.69787
1243.26,-3.294561,-3.287177,-3.286113,-3.284516,-3.284516,-26.89061,-36.02332,-41.59471,-42.86796,-43.31447
1243.27,-3.28984,-3.276087,-3.275631,-3.274114,-3.276011,-26.88991,-35.93983,-41.28194,-42.43466,-42.87169
1243.28,-3.280641,-3.264041,-3.264116,-3.264343,-3.265024,-26.89994,-35.90065,-41.10509,-42.24855,-42.47676
1243.29,-3.274114,-3.254594,-3.256331,-3.256331,-3.256255,-26.90787,-35.88364,-41.05229,-42.19629,-42.36401
1243.3,-3.263436,-3.247504,-3.249916,-3.248709,-3.248936,-26.92082,-35.87245,-40.88267,-42.01382,-42.22585
1243.31,-3.254443,-3.24336,-3.245846,-3.244791,-3.244339,-26.91575,-35.80984,-40.70204,-41.71842,-42.02469
1243.32,-3.250821,-3.244113,-3.244038,-3.244641,-3.242607,-26.87651,-35.73558,-40.58669,-41.55627,-41.77768
1243.33,-3.249388,-3.246072,-3.245243,-3.246373,-3.243134,-26.86598,-35.73296,-40.70133,-41.7076,-41.75764
1243.34,-3.247127,-3.247504,-3.244867,-3.247202,-3.242908,-26.89875,-35.83516,-40.92909,-42.0148,-41.99368
1243.35,-3.244415,-3.247504,-3.245921,-3.247956,-3.24321,-26.92888,-35.94556,-41.12183,-42.26394,-42.28451
1243.36,-3.241478,-3.246072,-3.246373,-3.248182,-3.242381,-26.94842,-36.00282,-41.29035,-42.50065,-42.53048
1243.37,-3.238093,-3.244264,-3.245544,-3.247428,-3.241554,-26.9317,-36.02387,-41.45701,-42.7258,-42.77054
1243.38,-3.238995,-3.245469,-3.248634,-3.248936,-3.244415,-26.90066,-36.05284,-41.60105,-42.89505,-42.98032
1243.39,-3.243511,-3.252707,-3.255122,-3.254367,-3.251198,-26.90795,-36.10397,-41.78386,-43.13102,-43.18515
1243.4,-3.251575,-3.265327,-3.264267,-3.261167,-3.262906,-26.95416,-36.15931,-42.03515,-43.49856,-43.56747
1243.41,-3.259655,-3.275252,-3.274721,-3.269491,-3.271992,-26.91686,-36.19587,-42.21034,-43.77768,-43.89488
1243.42,-3.266008,-3.281628,-3.282084,-3.275555,-3.278211,-26.87645,-36.2199,-42.17904,-43.73396,-43.97759
1243.43,-3.270097,-3.282996,-3.285276,-3.277301,-3.280565,-26.90647,-36.17555,-41.94056,-43.4423,-43.77401
1243.44,-3.271006,-3.279502,-3.283376,-3.276693,-3.278363,-26.9072,-36.09924,-41.8225,-43.19809,-43.49791
